SE_id,chrom,chromstart,chromend,overlapping_samples,sample_ids,limma_pval,limma_fdr,signature_genes_within_500k,signature_genes_fantom5_enhancer,neural_crest_SE_overlap
chr12:48166050,chr12,48097800,48234300,3,",711ADRN,717MES,SH-EP2",0.093576576,0.203565797,,,ncc
chr12:50292150,chr12,50274750,50309550,2,",700ADRN,711ADRN",0.761284503,0.849734616,,,
chr12:50371950,chr12,50352900,50391000,6,",691MES,691ADRN,700MES,700ADRN,717MES,SH-SY5Y",0.484435442,0.632467953,,,
chr12:51790350,chr12,51752700,51828000,6,",691ADRN,700MES,700ADRN,711ADRN,753ADRN,SH-SY5Y",0.052162298,0.136740913,,,
chr12:52237350,chr12,52203600,52271100,3,",691MES,700MES,717MES",0.914209826,0.948449894,",ACVR1B:ADRN:7450",,ncc
chr12:52313250,chr12,52288500,52338000,3,",700ADRN,711ADRN,SH-SY5Y",0.78206763,0.862444925,",ACVR1B:ADRN:7450",,
chr12:52606250,chr12,52561300,52651200,3,",700ADRN,SH-EP2,SH-SY5Y",0.149335665,0.285246811,",ACVR1B:ADRN:7450",",ACVR1B:ADRN",ncc
chr12:53450850,chr12,53426400,53475300,2,",691MES,717MES",0.008911617,0.043562082,",IGFBP6:MES:16135",",IGFBP6:MES",ncc
chr12:53628150,chr12,53602200,53654100,2,",691MES,717MES",0.053006519,0.137958241,",IGFBP6:MES:16135",",IGFBP6:MES",ncc
chr12:54749625,chr12,54744000,54755250,4,",691MES,691ADRN,711ADRN,753ADRN",0.291674129,0.45347278,,,ncc
chr12:57558600,chr12,57517500,57599700,2,",691MES,717MES",0.056877707,0.145656007,",PRIM1:ADRN:371354",,ncc
chr12:59460375,chr12,59439000,59481750,2,",691MES,700MES",7.73E-05,0.003060224,,,
chr12:6177800,chr12,6147900,6207700,5,",700MES,700ADRN,711ADRN,717MES,SH-EP2",0.14247016,0.275331868,",TNFRSF1A:MES:243583",",TNFRSF1A:MES",
chr12:63110650,chr12,63085700,63135600,2,",691MES,SH-EP2",0.003419037,0.024598244,,,
chr12:64479725,chr12,64466250,64493200,2,",753ADRN,SH-SY5Y",0.829473243,0.898106407,,,
chr12:65074850,chr12,65059000,65090700,2,",691MES,700MES",0.007837296,0.040549087,",GNS:MES:62526,TBC1D30:ADRN:64949",,ncc
chr12:65319000,chr12,65283300,65354700,2,",691MES,717MES",0.14485132,0.278960479,",GNS:MES:62526,TBC1D30:ADRN:64949",,
chr12:68746800,chr12,68712600,68781000,2,",691MES,717MES",0.016634246,0.063443372,",RAP1B:MES:106318",",RAP1B:MES",
chr12:68840550,chr12,68782800,68898300,2,",691MES,717MES",0.000175331,0.004932905,",RAP1B:MES:106318",",RAP1B:MES",
chr12:71391450,chr12,71369400,71413500,2,",700ADRN,SH-SY5Y",0.092804702,0.202238987,,,
chr12:71967000,chr12,71940300,71993700,4,",691MES,691ADRN,717MES,SH-SY5Y",0.207777059,0.35309353,,,
chr12:76050300,chr12,76016100,76084500,3,",691MES,717MES,SH-EP2",0.083112277,0.188963892,,,
chr12:76119000,chr12,76088100,76149900,3,",691MES,700ADRN,717MES",0.170396007,0.308785412,,,
chr12:76212075,chr12,76201500,76222650,2,",691ADRN,700ADRN",0.5755476,0.714051245,,,
chr12:79314375,chr12,79270800,79357950,4,",691ADRN,700ADRN,753ADRN,SH-SY5Y",0.011600866,0.052109835,",SYT1:ADRN:12352",",SYT1:ADRN",
chr12:83265150,chr12,83247450,83282850,3,",691MES,700MES,SH-SY5Y",0.897601974,0.938838566,,,
chr12:85054250,chr12,85011250,85097250,3,",691MES,700MES,753ADRN",0.567218523,0.707745634,,,
chr12:88960125,chr12,88945050,88975200,2,",700ADRN,SH-SY5Y",0.084472357,0.191793795,,,
chr12:89446750,chr12,89408250,89485250,3,",691MES,700MES,700ADRN",0.117170301,0.23961877,",DUSP6:MES:57136",",DUSP6:MES",
chr12:89665350,chr12,89641200,89689500,2,",753ADRN,SH-SY5Y",0.943229713,0.967683816,",ATP2B1:MES:342856,DUSP6:MES:57136",",DUSP6:MES",
chr12:90439350,chr12,90392700,90486000,2,",700MES,717MES",0.002368874,0.020087088,",ATP2B1:MES:342856",",ATP2B1:MES",
chr12:91503075,chr12,91491000,91515150,2,",691ADRN,700ADRN",0.53995031,0.683470994,,,
chr12:91964850,chr12,91946700,91983000,2,",691ADRN,711ADRN",0.000277794,0.005906619,,,
chr12:92424150,chr12,92412500,92435800,2,",691MES,753ADRN",0.384095536,0.540988797,,,
chr12:94176625,chr12,94159950,94193300,2,",691ADRN,SH-EP2",0.592430324,0.722344819,,,
chr12:94678650,chr12,94668750,94688550,2,",691ADRN,SH-SY5Y",0.891855622,0.935772755,,,
chr13:102640875,chr13,102615300,102666450,2,",700MES,SH-SY5Y",0.079807705,0.185511057,,,
chr13:102691575,chr13,102679200,102703950,2,",691ADRN,700ADRN",0.133285982,0.261227951,,,
chr13:102875850,chr13,102769200,102982500,6,",691ADRN,700MES,700ADRN,717MES,753ADRN,SH-SY5Y",0.159208824,0.297643492,,,
chr13:104192200,chr13,104162400,104222000,2,",700ADRN,753ADRN",0.006118884,0.035126449,,,
chr13:104309300,chr13,104261100,104357500,2,",700ADRN,753ADRN",0.003153734,0.024043606,,,
chr13:104553750,chr13,104528300,104579200,2,",753ADRN,SH-SY5Y",0.653132682,0.764979927,,,
chr13:104615125,chr13,104597250,104633000,2,",700MES,753ADRN",0.50147368,0.648094289,,,
chr13:104654125,chr13,104633900,104674350,4,",700MES,717MES,753ADRN,SH-SY5Y",0.611134275,0.734953086,,,
chr13:104952600,chr13,104939600,104965600,2,",700ADRN,753ADRN",0.172530835,0.310667657,,,
chr13:108426300,chr13,108392250,108460350,3,",691ADRN,753ADRN,SH-SY5Y",0.000163529,0.004853317,",FAM155A:ADRN:59110",,
chr13:110004450,chr13,109975950,110032950,4,",691ADRN,700ADRN,753ADRN,SH-SY5Y",0.046329443,0.125406407,",IRS2:ADRN:113164",,
chr13:110309775,chr13,110293800,110325750,2,",700MES,SH-SY5Y",0.165732755,0.304362252,",IRS2:ADRN:113164",",IRS2:ADRN",
chr13:113356200,chr13,113343600,113368800,2,",700ADRN,711ADRN",0.169653857,0.308158153,,,ncc
chr13:24077950,chr13,24058100,24097800,2,",700ADRN,SH-EP2",0.436930003,0.589908744,,,
chr13:31446375,chr13,31436250,31456500,2,",711ADRN,SH-EP2",0.323289332,0.484933999,,,
chr13:33777300,chr13,33754800,33799800,3,",700ADRN,753ADRN,SH-SY5Y",0.45755088,0.607786141,,,
chr13:33807225,chr13,33801150,33813300,2,",691MES,SH-EP2",0.413505101,0.568775678,,,
chr13:34500275,chr13,34475500,34525050,2,",700ADRN,753ADRN",0.102290434,0.217957309,,,
chr13:34735250,chr13,34697800,34772700,2,",753ADRN,SH-EP2",0.244538281,0.396581813,,,
chr13:34789800,chr13,34772900,34806700,2,",753ADRN,SH-EP2",0.155927789,0.294156623,,,
chr13:34996800,chr13,34980450,35013150,2,",700ADRN,753ADRN",0.297105891,0.460624991,,,
chr13:35914050,chr13,35898150,35929950,3,",691ADRN,700MES,SH-SY5Y",0.443733047,0.596187813,",NBEA:ADRN:120935",",NBEA:ADRN",
chr13:36376425,chr13,36353850,36399000,3,",691ADRN,700ADRN,711ADRN",0.053753311,0.139534786,",NBEA:ADRN:120935",,
chr13:36558700,chr13,36520650,36596750,4,",691ADRN,700MES,700ADRN,753ADRN",0.959339304,0.978773433,",NBEA:ADRN:120935",,
chr13:36652650,chr13,36622800,36682500,2,",700MES,700ADRN",0.697704365,0.80248073,,,
chr13:37486650,chr13,37476450,37496850,4,",700MES,711ADRN,753ADRN,SH-SY5Y",0.490876148,0.637371999,,,
chr13:38969750,chr13,38946750,38992750,2,",691MES,700MES",0.026825369,0.08690792,,,
chr13:44841000,chr13,44810100,44871900,3,",691MES,717MES,SH-SY5Y",0.21943244,0.366898105,",SERP2:ADRN:76077",,
chr13:45268000,chr13,45232800,45303200,2,",717MES,SH-EP2",0.000885699,0.010903943,",SERP2:ADRN:76077",,
chr13:47217900,chr13,47174700,47261100,4,",691ADRN,717MES,753ADRN,SH-SY5Y",0.701367067,0.805578483,,,
chr13:60027400,chr13,60012300,60042500,2,",700ADRN,753ADRN",0.344287495,0.503702303,,,
chr13:72183600,chr13,72147300,72219900,4,",691ADRN,700ADRN,753ADRN,SH-SY5Y",0.003996073,0.027024882,",DACH1:ADRN:32530",",DACH1:ADRN",
chr13:72382075,chr13,72355350,72408800,4,",691ADRN,700ADRN,753ADRN,SH-SY5Y",0.010234059,0.047511191,",DACH1:ADRN:32530",,
chr13:73104525,chr13,73057500,73151550,5,",691ADRN,700ADRN,717MES,753ADRN,SH-SY5Y",0.021619424,0.07548631,,,
chr13:80367225,chr13,80347200,80387250,3,",700MES,717MES,SH-SY5Y",0.158405792,0.296475706,,,
chr13:80638950,chr13,80592900,80685000,2,",700MES,717MES",0.007001334,0.038151532,,,
chr13:80719650,chr13,80688900,80750400,2,",691MES,717MES",0.008046937,0.041024567,,,
chr13:81025150,chr13,80994500,81055800,2,",700MES,717MES",0.007856081,0.040549087,,,
chr13:81122250,chr13,81091500,81153000,4,",691MES,700MES,700ADRN,717MES",0.012403648,0.053824707,,,
chr13:81459500,chr13,81431000,81488000,2,",700MES,717MES",0.009218605,0.044026786,,,
chr13:91814450,chr13,91784200,91844700,4,",700MES,717MES,753ADRN,SH-SY5Y",0.844380673,0.906563746,,,
chr13:92460075,chr13,92447850,92472300,2,",691ADRN,SH-SY5Y",0.019955173,0.070715346,,,
chr13:93382050,chr13,93367200,93396900,2,",711ADRN,753ADRN",0.015841298,0.061228458,",GPC6:MES:15973",,
chr13:93921075,chr13,93895050,93947100,2,",SH-EP2,SH-SY5Y",0.738686738,0.833467317,",GPC6:MES:15973",,
chr13:94969650,chr13,94947600,94991700,2,",717MES,SH-EP2",0.036996697,0.105288546,,,
chr13:97935675,chr13,97871250,98000100,6,",700MES,700ADRN,717MES,753ADRN,SH-EP2,SH-SY5Y",0.36342416,0.522953207,,,
chr13:98927100,chr13,98884800,98969400,3,",700ADRN,717MES,753ADRN",0.537261476,0.681104938,,,
chr14:100061700,chr14,100020300,100103100,4,",700ADRN,711ADRN,717MES,753ADRN",0.634796903,0.753056711,",EVL:ADRN:309650",,ncc
chr14:100905150,chr14,100841400,100968900,7,",691MES,691ADRN,700MES,700ADRN,711ADRN,753ADRN,SH-SY5Y",0.013991441,0.05714671,",DLK1:ADRN:79449,EVL:ADRN:309650",,
chr14:101028000,chr14,100995250,101060750,4,",700MES,700ADRN,753ADRN,SH-SY5Y",0.014925024,0.058920167,",DLK1:ADRN:79449,EVL:ADRN:309650",",DLK1:ADRN",
chr14:101183550,chr14,101094450,101272650,5,",691ADRN,700ADRN,711ADRN,753ADRN,SH-SY5Y",0.000338109,0.006689726,",DLK1:ADRN:79449",",DLK1:ADRN",ncc
chr14:101307375,chr14,101286150,101328600,3,",691ADRN,700ADRN,753ADRN",0.001268284,0.014052583,",DLK1:ADRN:79449",,ncc
chr14:101365050,chr14,101350200,101379900,3,",691ADRN,753ADRN,SH-SY5Y",0.012388334,0.053824707,",DLK1:ADRN:79449",,
chr14:101472700,chr14,101457800,101487600,2,",753ADRN,SH-SY5Y",0.021758367,0.075653568,",DLK1:ADRN:79449",,
chr14:101552525,chr14,101533000,101572050,2,",753ADRN,SH-SY5Y",0.12611606,0.250723554,",DLK1:ADRN:79449",,
chr14:101589975,chr14,101574300,101605650,2,",753ADRN,SH-SY5Y",0.166027265,0.304566571,",DLK1:ADRN:79449",,
chr14:101694750,chr14,101680200,101709300,2,",753ADRN,SH-SY5Y",0.247047985,0.399331777,",DLK1:ADRN:79449",,
chr14:102314525,chr14,102271650,102357400,5,",691ADRN,700ADRN,711ADRN,753ADRN,SH-SY5Y",0.000700667,0.00931607,,,
chr14:104329350,chr14,104266200,104392500,2,",717MES,SH-SY5Y",0.681462049,0.789492537,",CKB:ADRN:277004,KLC1:ADRN:170676",,
chr14:104648500,chr14,104598300,104698700,5,",700MES,700ADRN,711ADRN,717MES,753ADRN",0.199301351,0.343498601,,,ncc
chr14:104753775,chr14,104729850,104777700,4,",700MES,700ADRN,717MES,SH-SY5Y",0.237272285,0.388136355,,,
chr14:104840000,chr14,104806250,104873750,4,",700MES,700ADRN,711ADRN,717MES",0.174403294,0.313021895,,,
chr14:105936300,chr14,105903000,105969600,2,",700MES,717MES",0.161949795,0.301074451,,,ncc
chr14:25259850,chr14,25228200,25291500,3,",691MES,717MES,753ADRN",0.075696803,0.178198423,,,
chr14:25324950,chr14,25293900,25356000,2,",691MES,717MES",0.074867027,0.17682006,,,
chr14:32685600,chr14,32669500,32701700,2,",700MES,753ADRN",0.928019837,0.95561894,,,
chr14:32824125,chr14,32796300,32851950,2,",700ADRN,SH-SY5Y",0.390446343,0.549003233,,,
chr14:32885925,chr14,32863500,32908350,2,",SH-EP2,SH-SY5Y",0.886312855,0.932347267,,,
chr14:34410750,chr14,34389750,34431750,3,",711ADRN,753ADRN,SH-SY5Y",0.872605502,0.924856621,,,
chr14:36021600,chr14,35988600,36054600,3,",691ADRN,753ADRN,SH-SY5Y",0.01914937,0.068887992,",INSM2:ADRN:14647,PPP2R3C:ADRN:396851",,
chr14:39478000,chr14,39449500,39506500,2,",700MES,700ADRN",0.111460164,0.230981038,,,
chr14:51861500,chr14,51853000,51870000,2,",691MES,SH-EP2",0.058413212,0.147766755,",PYGL:MES:441752",,
chr14:51986700,chr14,51937500,52035900,3,",691MES,700ADRN,SH-EP2",0.043833136,0.120362211,,,
chr14:52068000,chr14,52039200,52096800,2,",691MES,SH-EP2",0.015629762,0.060978087,",NID2:MES:174696",,
chr14:52340925,chr14,52320600,52361250,4,",691MES,700MES,700ADRN,753ADRN",0.52705222,0.671749072,",NID2:MES:174696",,
chr14:52895400,chr14,52876500,52914300,2,",691MES,SH-SY5Y",0.074898509,0.17682006,",NID2:MES:174696",,
chr14:53319550,chr14,53288000,53351100,4,",700MES,717MES,SH-EP2,SH-SY5Y",0.196282635,0.339709153,,,
chr14:55283250,chr14,55269450,55297050,4,",691ADRN,700ADRN,753ADRN,SH-SY5Y",0.001791003,0.017509686,",CDKN3:ADRN:405778,GCH1:ADRN:1358",,
chr14:55345400,chr14,55319900,55370900,4,",691ADRN,700ADRN,753ADRN,SH-SY5Y",0.000493765,0.007602361,",CDKN3:ADRN:405778,GCH1:ADRN:1358",,
chr14:59189900,chr14,59156400,59223400,2,",717MES,SH-EP2",0.016626036,0.063443372,,,
chr14:61583475,chr14,61538250,61628700,3,",700MES,717MES,SH-EP2",0.00048378,0.007602361,",SIX1:MES:422095,SIX4:MES:347398,SLC38A6:MES:90286",",SLC38A6:MES",
chr14:61669200,chr14,61631700,61706700,3,",691MES,717MES,SH-EP2",0.000466938,0.007602361,",SIX4:MES:347398,SLC38A6:MES:90286",,
chr14:61726800,chr14,61710900,61742700,2,",691MES,717MES",2.63E-06,0.000819062,",SLC38A6:MES:90286",,
chr14:61941900,chr14,61927200,61956600,3,",691ADRN,700ADRN,SH-SY5Y",0.895740862,0.93823735,",SLC38A6:MES:90286",",SLC38A6:MES",
chr14:62055350,chr14,61988200,62122500,4,",700ADRN,717MES,SH-EP2,SH-SY5Y",0.551726285,0.69414768,,,
chr14:68410650,chr14,68399000,68422300,2,",691MES,SH-EP2",0.000195071,0.004932905,,,
chr14:68474050,chr14,68424500,68523600,3,",700MES,717MES,SH-EP2",0.000155429,0.004794705,,,
chr14:68647150,chr14,68540300,68754000,4,",691MES,700MES,717MES,SH-EP2",3.53E-05,0.001741687,,,
chr14:68829750,chr14,68757900,68901600,2,",691MES,717MES",0.000912438,0.01098893,",ZFP36L1:MES:86531",",ZFP36L1:MES",
chr14:68950200,chr14,68904000,68996400,3,",691MES,717MES,SH-EP2",0.002011336,0.018392129,",ACTN1:MES:9917,ZFP36L1:MES:86531",,ncc
chr14:69039750,chr14,69000000,69079500,4,",691MES,691ADRN,717MES,SH-EP2",0.001591443,0.016226857,",ACTN1:MES:9917,ZFP36L1:MES:86531",",ZFP36L1:MES",ncc
chr14:69144200,chr14,69114300,69174100,2,",717MES,SH-EP2",0.002444742,0.020164523,",ACTN1:MES:9917,ZFP36L1:MES:86531",",ZFP36L1:MES",ncc
chr14:69424950,chr14,69393900,69456000,7,",691ADRN,700MES,700ADRN,711ADRN,717MES,SH-EP2,SH-SY5Y",0.843523788,0.906229177,",ACTN1:MES:9917,ZFP36L1:MES:86531",",ZFP36L1:MES",ncc
chr14:75459900,chr14,75397500,75522300,2,",691MES,717MES",0.014718685,0.058803976,",NPC2:MES:437416",,
chr14:77406300,chr14,77365800,77446800,8,",691MES,691ADRN,700MES,700ADRN,711ADRN,717MES,753ADRN,SH-SY5Y",0.62837141,0.747568563,",AHSA1:ADRN:386822",,ncc
chr14:77493825,chr14,77450100,77537550,8,",691MES,691ADRN,700MES,700ADRN,711ADRN,717MES,753ADRN,SH-SY5Y",0.629542611,0.748426194,",AHSA1:ADRN:386822",,ncc
chr14:89380800,chr14,89263800,89497800,6,",691MES,691ADRN,700ADRN,711ADRN,753ADRN,SH-SY5Y",0.00823223,0.041713309,",TTC8:ADRN:26696",,
chr14:89690400,chr14,89659200,89721600,2,",691ADRN,700ADRN",0.106764512,0.22461091,",TTC8:ADRN:26696",,
chr14:90895625,chr14,90862500,90928750,3,",691ADRN,700MES,700ADRN",0.740325794,0.833618881,,,
chr14:91082250,chr14,91064250,91100250,2,",700MES,717MES",0.161742656,0.301026085,,,
chr14:91718700,chr14,91704900,91732500,2,",711ADRN,SH-SY5Y",0.350592719,0.511231647,,,
chr14:93354900,chr14,93304800,93405000,5,",691ADRN,700ADRN,711ADRN,753ADRN,SH-SY5Y",0.007284569,0.039165558,",CHGA:ADRN:15556,UNC79:ADRN:306814",,
chr14:93470125,chr14,93447500,93492750,3,",700MES,700ADRN,753ADRN",0.070138108,0.167538642,",CHGA:ADRN:15556,UNC79:ADRN:306814",,
chr14:95982525,chr14,95960100,96004950,2,",711ADRN,SH-SY5Y",0.247742516,0.3997554,,,
chr14:96558150,chr14,96541800,96574500,4,",691ADRN,711ADRN,753ADRN,SH-SY5Y",0.174271219,0.313021895,",C14orf132:ADRN:36140",,
chr14:96662950,chr14,96623400,96702500,2,",700MES,717MES",0.357516032,0.518290306,",C14orf132:ADRN:36140",,
chr14:96733875,chr14,96711600,96756150,2,",SH-EP2,SH-SY5Y",0.020807363,0.072957462,",C14orf132:ADRN:36140",,
chr15:100738200,chr15,100728750,100747650,2,",691ADRN,700ADRN",0.163169857,0.302665516,,,
chr15:101212800,chr15,101190000,101235600,3,",691MES,700MES,717MES",0.035273949,0.102169075,",ALDH1A3:MES:33996",",ALDH1A3:MES",
chr15:101314650,chr15,101297700,101331600,4,",691MES,691ADRN,717MES,753ADRN",0.03649308,0.104739395,",ALDH1A3:MES:33996",,
chr15:101424700,chr15,101385900,101463500,3,",691MES,700MES,717MES",0.012480366,0.053935561,",ALDH1A3:MES:33996",,
chr15:101680300,chr15,101639100,101721500,6,",700MES,700ADRN,717MES,753ADRN,SH-EP2,SH-SY5Y",0.336674914,0.496498409,",ALDH1A3:MES:33996",,ncc
chr15:32390250,chr15,32376150,32404350,3,",691ADRN,700ADRN,711ADRN",0.001396232,0.014875243,,,
chr15:33443375,chr15,33411250,33475500,6,",691ADRN,700MES,700ADRN,711ADRN,717MES,SH-SY5Y",0.814830693,0.887193572,,,
chr15:35601250,chr15,35577000,35625500,4,",691MES,700MES,717MES,SH-SY5Y",0.005156553,0.03137544,,,
chr15:35803125,chr15,35785500,35820750,3,",691MES,700MES,SH-SY5Y",0.059613258,0.149437761,,,
chr15:36201250,chr15,36096500,36306000,5,",691MES,700MES,717MES,753ADRN,SH-SY5Y",0.123939408,0.248476834,,,
chr15:37510950,chr15,37493700,37528200,4,",691ADRN,711ADRN,753ADRN,SH-SY5Y",0.080854318,0.186638717,,,
chr15:39164950,chr15,39130600,39199300,6,",700MES,700ADRN,717MES,753ADRN,SH-EP2,SH-SY5Y",0.884745129,0.931841828,,,
chr15:39687375,chr15,39677250,39697500,2,",691ADRN,700ADRN",0.433372713,0.58749221,",THBS1:MES:175779",,
chr15:40368150,chr15,40328100,40408200,3,",691MES,711ADRN,717MES",0.130500433,0.258112928,",KNSTRN:ADRN:35921,THBS1:MES:175779",,ncc
chr15:40627500,chr15,40616000,40639000,2,",700MES,SH-EP2",0.074546169,0.176489647,",KNSTRN:ADRN:35921",,
chr15:46376850,chr15,46366800,46386900,2,",691ADRN,753ADRN",0.154656515,0.292755271,,,
chr15:46565625,chr15,46552800,46578450,3,",691ADRN,753ADRN,SH-SY5Y",0.017071007,0.06390093,,,
chr15:48018075,chr15,47995950,48040200,3,",717MES,753ADRN,SH-SY5Y",0.183332181,0.325184722,",MYEF2:ADRN:430358",,
chr15:60671500,chr15,60635200,60707800,2,",717MES,SH-EP2",0.02256464,0.077644786,",ANXA2:MES:17615",,
chr15:62916925,chr15,62889200,62944650,3,",753ADRN,SH-EP2,SH-SY5Y",0.499709972,0.647829933,",TPM1:MES:34687",,
chr15:63183225,chr15,63157050,63209400,3,",717MES,SH-EP2,SH-SY5Y",0.176919102,0.316852961,",TPM1:MES:34687",,
chr15:63227925,chr15,63210750,63245100,3,",717MES,SH-EP2,SH-SY5Y",0.132404594,0.261067382,",TPM1:MES:34687",,
chr15:63282275,chr15,63264400,63300150,2,",SH-EP2,SH-SY5Y",0.255308704,0.409183284,",TPM1:MES:34687",,
chr15:67325100,chr15,67302000,67348200,3,",691MES,717MES,SH-EP2",0.000788426,0.01007972,",SMAD3:MES:9994",,
chr15:70641750,chr15,70626900,70656600,2,",717MES,SH-SY5Y",0.37681918,0.533452707,,,
chr15:74537325,chr15,74458950,74615700,8,",691MES,691ADRN,700MES,700ADRN,711ADRN,717MES,753ADRN,SH-SY5Y",0.041745536,0.115442731,",STRA6:ADRN:36270",,ncc
chr15:74893050,chr15,74856000,74930100,2,",700ADRN,717MES",0.900043931,0.94020931,",SCAMP5:ADRN:357775,STRA6:ADRN:36270",,ncc
chr15:75979800,chr15,75926400,76033200,3,",691MES,717MES,SH-EP2",0.019213093,0.068967949,,,ncc
chr15:78177850,chr15,78167100,78188600,2,",691MES,SH-EP2",0.575859472,0.714051245,",PEAK1:MES:454654",,ncc
chr15:78955875,chr15,78904200,79007550,8,",691MES,691ADRN,700MES,700ADRN,711ADRN,717MES,753ADRN,SH-SY5Y",0.081959574,0.187301993,",CHRNA3:ADRN:9437",,
chr15:82183075,chr15,82170200,82195950,2,",711ADRN,SH-EP2",0.172078664,0.310189522,,,
chr15:86018000,chr15,85971250,86064750,5,",691ADRN,700MES,700ADRN,753ADRN,SH-SY5Y",0.815129113,0.887193572,,,
chr15:89122500,chr15,89105700,89139300,3,",700ADRN,753ADRN,SH-SY5Y",0.027378005,0.088012078,,,
chr15:89640150,chr15,89622600,89657700,2,",711ADRN,SH-SY5Y",0.873075761,0.924856621,,,
chr15:93366000,chr15,93338700,93393300,4,",700ADRN,711ADRN,717MES,SH-EP2",0.304200997,0.468286713,,,ncc
chr15:95021625,chr15,95012250,95031000,2,",691MES,700ADRN",0.818313913,0.889494914,,,
chr15:99285150,chr15,99224400,99345900,8,",691MES,691ADRN,700MES,700ADRN,717MES,753ADRN,SH-EP2,SH-SY5Y",0.602679735,0.728151318,,,
chr16:11065050,chr16,11027400,11102700,2,",691MES,717MES",0.005287732,0.031726393,,,
chr16:12870225,chr16,12841650,12898800,3,",700ADRN,711ADRN,SH-SY5Y",0.006877404,0.037974235,,,
chr16:14035200,chr16,14011200,14059200,2,",691MES,717MES",0.002805709,0.021995701,,,
chr16:15230075,chr16,15205750,15254400,3,",700MES,711ADRN,717MES",0.458754684,0.607786141,,,ncc
chr16:17907200,chr16,17861800,17952600,2,",717MES,753ADRN",0.727447836,0.825133439,,,
chr16:18063500,chr16,18025800,18101200,2,",717MES,753ADRN",0.589845754,0.721887808,,,
chr16:18277450,chr16,18254700,18300200,2,",711ADRN,753ADRN",0.012732467,0.054231162,,,
chr16:2173350,chr16,2119200,2227500,3,",700MES,711ADRN,717MES",0.089233168,0.198004706,",ABCA3:ADRN:163247",,ncc
chr16:22962675,chr16,22934100,22991250,3,",691ADRN,717MES,SH-SY5Y",0.067974423,0.163729697,,,
chr16:49835400,chr16,49767600,49903200,2,",691MES,717MES",0.435151369,0.588463446,,,ncc
chr16:53103425,chr16,53049600,53157250,6,",691MES,691ADRN,700MES,711ADRN,717MES,753ADRN",0.258297346,0.413176313,,,ncc
chr16:5553300,chr16,5544000,5562600,2,",753ADRN,SH-SY5Y",2.46E-05,0.001512507,,,
chr16:55683600,chr16,55668450,55698750,3,",711ADRN,753ADRN,SH-SY5Y",0.595742937,0.723887934,",MMP2:MES:152982",,
chr16:56289750,chr16,56272950,56306550,2,",700ADRN,711ADRN",0.003294439,0.024288688,,,
chr16:58152700,chr16,58141400,58164000,3,",691ADRN,711ADRN,753ADRN",0.909214626,0.944446693,,,
chr16:58495225,chr16,58436750,58553700,4,",691ADRN,700MES,700ADRN,717MES",0.666387795,0.774748545,,,ncc
chr16:5918475,chr16,5906700,5930250,2,",700ADRN,SH-SY5Y",0.003742299,0.026023854,,,
chr16:64917000,chr16,64888500,64945500,2,",691MES,717MES",0.008731116,0.042805647,",CDH11:MES:210419",,
chr16:67034850,chr16,66985800,67083900,3,",691MES,700MES,717MES",0.009758185,0.046074156,",CBFB:MES:20851,CMTM3:MES:347167",",CMTM3:MES",
chr16:70737000,chr16,70710900,70763100,4,",700MES,717MES,753ADRN,SH-EP2",0.084911032,0.192109192,,,ncc
chr16:72235575,chr16,72223200,72247950,4,",691ADRN,711ADRN,753ADRN,SH-SY5Y",0.021277311,0.074448192,,,
chr16:73068300,chr16,73018800,73117800,5,",691MES,691ADRN,711ADRN,717MES,SH-EP2",0.813466992,0.887127389,,,
chr16:73917525,chr16,73905900,73929150,2,",691ADRN,711ADRN",0.017157981,0.064082167,,,
chr16:75280050,chr16,75256500,75303600,2,",717MES,SH-EP2",0.032996361,0.097928487,,,ncc
chr16:85432950,chr16,85140900,85725000,6,",691ADRN,700MES,700ADRN,711ADRN,717MES,753ADRN",0.725174219,0.824032,,,ncc
chr16:86429850,chr16,86416350,86443350,2,",700ADRN,SH-EP2",0.196426291,0.339709153,,,
chr16:86968950,chr16,86925600,87012300,2,",717MES,SH-EP2",0.006473141,0.036593063,,,
chr16:87510150,chr16,87494800,87525500,2,",711ADRN,753ADRN",0.335633744,0.496324451,,,
chr16:87884100,chr16,87852600,87915600,4,",691ADRN,700MES,711ADRN,717MES",0.454824634,0.606178177,,,ncc
chr17:1002750,chr17,973500,1032000,2,",711ADRN,717MES",0.275333965,0.433748863,,,ncc
chr17:10650000,chr17,10632000,10668000,3,",691MES,717MES,753ADRN",0.066770086,0.161766592,,,
chr17:13288475,chr17,13240600,13336350,4,",691MES,717MES,SH-EP2,SH-SY5Y",0.105478495,0.223034679,",HS3ST3A1:MES:168909",",HS3ST3A1:MES",
chr17:151650,chr17,141300,162000,3,",691MES,711ADRN,753ADRN",0.638638944,0.756425546,,,ncc
chr17:17707400,chr17,17565900,17848900,7,",691ADRN,700MES,711ADRN,717MES,753ADRN,SH-EP2,SH-SY5Y",0.582963277,0.718404497,,,ncc
chr17:19293575,chr17,19262400,19324750,3,",700MES,711ADRN,717MES",0.180116906,0.320428901,,,ncc
chr17:1969200,chr17,1926300,2012100,3,",717MES,753ADRN,SH-EP2",0.132854288,0.261067382,,,ncc
chr17:2112300,chr17,2066400,2158200,4,",691MES,717MES,753ADRN,SH-EP2",0.013162145,0.055521536,,,
chr17:2282850,chr17,2237700,2328000,2,",700MES,717MES",0.03528583,0.102169075,,,ncc
