Chromosome,Start,End,Type (NB or hNCC),Gene(s),TF(s),Number of NB cell lines,#cell lines with SE (group I),#cell lines with SE (group II),Median Score over 25 cell lines,"Median score, group I","Median score, group II","Median score, hNCC",FC Score Group I over Group II,Wilcoxon p-value (two sided test),Loadings to PC1,Loadings to PC2,Has 15% overlap with hNCC SEs,Pearson Corr. with gene expression
chr20,62765498,62864201,NB,,,15,15,0,11145.92014,15158.61321,610.4959796,1728.690035,24.82999678,0.003007519,-0.051145495,1.978130196,0,
chr5,137825348,137916801,NB,SNORA74A|SIL1,,5,2,1,11132.7165,10222.33934,22250.04439,17410.68093,0.459430065,0.016541353,-0.748949397,-0.093444611,1,0.51|0.39
chr7,13930748,14023638,NB,ETV1,ETV1,7,5,0,11121.31716,8152.22934,14713.37128,7656.1084,0.554069437,0.306766917,-0.006673845,-0.321800295,0,0.48
chr12,103342248,103449901,NB,ASCL1|PAH,ASCL1,9,9,0,11118.30769,15812.82961,0,7.823483469,Inf,0.007716814,0.187576068,3.842008079,0,0.92|0.38
chr19,8416798,8555001,NB,ANGPTL4,,5,2,2,11110.00946,10499.09652,30620.38764,25591.26454,0.342879282,0.006015038,-0.789430321,-0.285363512,1,0.56
chr16,30931498,31019328,NB,HSD3B7|ORAI3|STX4|CTF1|PRSS53|BCKDK|CCDC189|VKORC1|BCL7C|MIR4519|PHKG2,,4,1,2,11102.8084,10863.28099,31546.85184,19661.13604,0.344353885,0.003007519,-0.788055383,-0.257623374,0,0.76|0.59|0.56|0.54|0.53|0.48|0.42|0.41|0.4|0.38|0.37
chr13,114099698,114216451,NB,,,6,5,0,11101.49097,11318.1949,18533.29528,11587.48018,0.610695223,0.470676692,-0.772076316,0.12674457,0,
chr8,60489398,60636401,NB,,,10,9,1,11097.88389,11695.21585,12087.66921,6261.720702,0.967532751,0.962406015,-0.500525618,0.328129407,0,
chr2,66653598,66675001,NCC,MEIS1|ETAA1,MEIS1,19,13,2,11088.8426,10561.66678,11088.8426,14750.29261,0.952458896,1,-0.692012734,0.06142365,1,0.56|0.38
chr19,38400365,38605751,NB,C19orf33|GGN|SIPA1L3|CATSPERG,,10,7,3,11085.98159,10619.59532,37118.64699,59721.34866,0.286098664,0.003007519,-0.890034738,-0.389336445,1,0.53|0.49|0.43|0.42
chr20,52480798,52566751,NCC,ZNF217|BCAS1,ZNF217,15,10,3,11074.55377,9377.525431,23571.08094,22928.1648,0.39784028,0.02406015,-0.647263287,-0.267535323,1,0.52|0.37
chr4,16575398,16979651,NB,LDB2,,8,7,1,11062.63221,11025.9599,49001.90239,6075.810614,0.225010854,0.061654135,-0.67251995,-0.126917863,0,0.78
chr3,52265398,52319334,NCC,,,14,8,2,11060.25339,9720.703486,17395.92999,16433.87694,0.558791826,0.016541353,-0.730351299,-0.110387058,1,
chr5,123963798,124043151,NCC,,,20,17,0,11042.72296,11037.44405,10488.81664,17703.73116,1.052305939,0.6,-0.680030289,0.070153467,1,
chr5,124070248,124086051,NCC,ZNF608,,21,18,0,11041.87622,12594.4914,10459.09257,11623.31162,1.20416674,0.813533835,-0.746143264,0.263155415,1,0.63
chr10,134175048,134292151,NB,PWWP2B,,14,12,1,11041.76432,11671.51969,7201.437667,9661.518055,1.620720783,0.533834586,-0.750621311,0.316473282,0,0.39
chr5,172254698,172480853,NB,ATP6V0E1|DUSP1|ERGIC1|CREBRF,,4,0,3,11035.75696,9612.492143,66955.01411,75532.64274,0.143566427,0.003007519,-0.812775872,-0.665910718,1,0.73|0.58|0.55|0.4
chr5,60570548,60668551,NB,,,12,6,3,11032.50699,9900.245415,37677.46849,26061.15892,0.26276302,0.001503759,-0.73403099,-0.435973206,1,
chrX,21860153,22086051,NB,PHEX,,7,2,3,11032.06953,10246.7466,65945.46076,19703.68866,0.155382137,0.010526316,-0.747687205,-0.338944975,1,0.56
chr17,32920498,33002601,NB,LIG3|TMEM132E|ZNF830|C17orf102,,14,14,0,11031.53254,13215.98222,61.54032933,72.6499369,214.753193,0.001503759,0.056650948,2.949609918,0,0.68|0.61|0.52|0.43
chr13,43544498,43734451,NB,EPSTI1,,8,6,1,11028.82288,11142.03654,25104.7127,21956.22722,0.443822508,0.412030075,-0.620212639,-0.142076543,0,0.48
chr7,69061098,69174401,NB,AUTS2,,9,8,0,11028.72751,11278.96799,8696.670182,5727.360625,1.296929487,0.221052632,-0.608274305,0.663947792,0,0.76
chr12,112437348,112581001,NB,,,3,1,1,11022.1672,9692.162388,27554.02625,22469.40535,0.351751221,0.003007519,-0.719279987,-0.237515805,1,
chr15,75912498,76025551,NB,ODF3L1|CSPG4|SNX33|FBXO22|UBE2Q2,,5,0,3,11011.92448,10590.46411,46698.9289,36822.68942,0.226781735,0.003007519,-0.879303411,-0.456331291,1,0.71|0.58|0.54|0.42|0.38
chr4,38860935,38997251,NCC,FAM114A1|KLHL5|TLR6|TLR1,,10,7,2,11006.34831,10017.46867,24920.87888,20636.53966,0.401970923,0.046616541,-0.593577838,-0.173871787,1,0.63|0.58|0.43|0.41
chr15,43698398,43830751,NB,MAP1A,,5,2,2,10998.49375,10813.04522,29051.28179,11027.78195,0.372205443,0.306766917,-0.715545711,-0.032221996,0,0.38
chr12,56908198,57046151,NB,RBMS2|ANKRD52|STAT2|MYL6,STAT2,4,1,3,10961.63644,10614.04583,44587.18638,30469.59335,0.238051483,0.003007519,-0.78528394,-0.424118062,0,0.75|0.58|0.47|0.45
chr2,242734948,242851951,NB,NEU4|ING5|PDCD1,,10,10,0,10952.29701,12476.46597,1050.65278,1719.213852,11.87496593,0.001503759,-0.522597907,1.287230139,0,0.43|0.41|0.37
chr7,81609748,81757401,NB,HGF|CACNA2D1,,12,10,0,10951.81995,10706.16906,14990.90611,5720.93007,0.714177581,0.6,-0.679864995,0.202702235,0,0.53|0.42
chr11,128268248,128400051,NCC,ETS1|FLI1|SENCR,ETS1|FLI1,12,7,3,10951.18674,8866.662966,60646.54231,59730.99279,0.146202283,0.001503759,-0.507508271,-0.842791793,1,0.83|0.54|0.53
chr3,119344348,119400101,NB,POPDC2|ARHGAP31|CD80|ARHGAP31-AS1|TIMMDC1,,14,10,0,10950.93966,10674.89897,4464.568253,7261.246011,2.391026045,0.261654135,-0.570768669,0.259213379,0,0.6|0.54|0.42|0.41|0.38
chr9,135986398,136020701,NB,RALGDS|GBGT1|SLC2A6,,19,16,0,10944.95391,11329.40268,4298.489361,7256.158087,2.635670751,0.003007519,-0.76266841,0.573202185,0,0.69|0.54|0.4
chr9,133234148,133377151,NB,ASS1|FUBP3,,12,10,1,10943.3134,12031.52415,3138.456371,3143.901326,3.833580184,0.12481203,-0.364876837,0.906687213,0,0.63|0.61
chr6,24980248,25265501,NB,CMAHP|TRIM38|CARMIL1|FAM65B,,6,1,2,10937.71469,6482.648604,45085.2004,23412.2805,0.143786621,0.003007519,-0.568871872,-0.745071713,1,0.73|0.58|0.46|0.43
chr3,93785198,93905351,NB,EPHA6,,10,10,0,10933.55615,13353.82167,6383.848974,3619.277965,2.091813533,0.153383459,-0.48639842,0.537680115,0,0.52
chr2,1628848,1760251,NCC,PXDN,,12,7,3,10926.1961,10214.79772,46472.43429,50571.54392,0.219803371,0.001503759,-0.703423837,-0.531349085,1,0.82
chr19,3369070,3466051,NCC,NFIC,NFIC,12,7,1,10919.67709,7329.978418,12338.12987,13590.63225,0.594091527,0.470676692,-0.667399823,0.018951519,1,0.66
chr6,113620448,113824451,NB,,,8,2,3,10916.83855,8442.445281,57329.25408,30713.43906,0.14726243,0.001503759,-0.654572152,-0.762326917,1,
chr6,158405385,158523351,NCC,SYNJ2|SNX9,,14,7,3,10915.17773,7171.22855,35947.16359,49837.37267,0.199493585,0.001503759,-0.61216792,-0.789937567,1,0.79|0.37
chr4,38860935,38991101,NB,FAM114A1|KLHL5|TLR6|TLR1,,10,7,2,10910.59598,9875.851695,24804.54713,20364.51951,0.398146825,0.046616541,-0.582087364,-0.174567538,1,0.64|0.58|0.43|0.41
chr10,62634198,62757351,NB,ARID5B,ARID5B,6,4,2,10910.52902,10426.89347,27532.83734,24772.88578,0.378707553,0.02406015,-0.737012215,-0.180752488,1,0.55
chr1,183772498,184004362,NB,RGL1|COLGALT2,,9,4,2,10898.79589,9428.441982,40377.6985,11914.0009,0.233506176,0.006015038,-0.529686631,-0.503675091,0,0.63|0.59
chr8,37634098,37701051,NB,ADGRA2,,17,12,2,10896.98465,10130.5249,14675.51727,8532.824156,0.690301045,0.739849624,-0.608540003,0.137061813,0,0.62
chr14,33901148,34266101,NB,NPAS3,NPAS3,3,0,1,10889.45636,8313.474907,34483.98035,25709.44274,0.241082231,0.003007519,-0.520957382,-0.719037694,0,0.6
chr7,65663198,65861901,NB,,,7,1,2,10883.99163,8625.500488,41266.241,18148.96882,0.209020746,0.003007519,-0.628750014,-0.446802429,0,
chr1,29459348,29625051,NB,,,5,4,1,10873.89056,10354.09778,23563.9381,18482.38093,0.439404387,0.02406015,-0.742843535,-0.117968359,0,
chr17,48996698,49066301,NCC,,,23,18,3,10864.0712,12146.9497,9470.81004,10031.67982,1.282567135,0.12481203,-0.725680114,0.326814397,1,
chr6,111782798,111825901,NCC,TRAF3IP2,,20,13,3,10863.15525,10262.85288,26202.27159,12315.64997,0.391677983,0.003007519,-0.678162023,-0.152802355,1,0.44
chr20,5768048,5942801,NB,CHGB|TRMT6|C20orf196|MCM8,,7,7,0,10861.79124,10431.03355,14936.46774,5079.811847,0.69836013,0.412030075,-0.796797746,0.399837494,0,0.68|0.65|0.39|0.39
chr8,62494398,62722401,NB,ASPH,,8,1,3,10860.67346,9448.967978,82869.46882,39822.98029,0.114022307,0.001503759,-0.780229607,-0.784686195,1,0.67
chr10,76864598,76993269,NB,,,3,0,2,10859.64322,9397.445091,34895.2076,22835.19062,0.269304748,0.003007519,-0.722776409,-0.299136675,1,
chr6,160067398,160180487,NCC,FNDC1|IGF2R,,8,3,3,10858.35324,10206.70625,26123.3495,26677.43646,0.390712004,0.001503759,-0.735628792,-0.360343584,1,0.51|0.41
chr1,249104698,249168901,NB,,,9,4,3,10857.74731,10233.78611,32231.39462,21918.23571,0.317509876,0.001503759,-0.7604479,-0.287901112,1,
chr14,35825348,35892051,NCC,NFKBIA,,12,9,1,10844.98538,9579.643085,17013.71858,19428.29583,0.563054046,0.046616541,-0.679571776,-0.153545084,1,0.41
chr17,47069848,47162651,NCC,IGF2BP1,,15,11,3,10841.48929,11144.67768,32047.78223,25304.89464,0.347751916,0.003007519,0.680710206,-1.019145006,1,0.74
chr5,15502802,15773601,NB,FBXL7,,5,3,2,10839.52056,10036.88893,30012.83121,12506.80761,0.334419931,0.470676692,-0.642649391,-0.015678941,0,0.48
chr15,44155398,44524451,NB,FRMD5,,4,0,3,10832.47673,9568.110555,103211.804,18447.57522,0.092703646,0.001503759,-0.810707588,-0.559531435,0,0.58
chr5,172080048,172234651,NB,DUSP1|ERGIC1,,4,1,2,10830.05807,10510.21543,27819.0288,40698.83908,0.377806699,0.006015038,-0.751514234,-0.282844758,1,0.56|0.49
chr10,123886348,123999801,NB,TACC2|BTBD16,,12,11,1,10829.80161,13170.60091,10829.80161,9014.156202,1.216144245,0.261654135,-0.764746029,0.576867499,0,0.62|0.39
chr12,859548,928751,NCC,,,11,7,3,10823.08845,10450.38268,25696.72679,13214.36488,0.406681472,0.02406015,-0.659776883,-0.115175562,1,
chr12,64793348,64899751,NB,RASSF3,,4,2,0,10810.42476,10258.87276,21414.95668,16556.94302,0.479051763,0.016541353,-0.676495784,-0.164754187,0,0.49
chr1,2359498,2479501,NB,PLCH2,,12,11,0,10802.95091,11885.18857,30556.82689,14824.65204,0.388953624,0.533834586,-0.835666215,0.073989084,0,0.55
chr1,156415848,156480201,NB,MEF2D,MEF2D,14,7,3,10802.87007,8442.074267,30552.472,16802.48665,0.276313951,0.003007519,-0.695425634,-0.228415583,1,0.49
chr6,155683948,155853451,NB,NOX3,,14,9,2,10794.75102,9409.0548,29965.75593,7131.966885,0.313993574,0.184962406,-0.752934994,-0.090531467,0,0.64
chr4,76569148,76772501,NB,,,4,1,2,10794.63252,10322.53013,34965.96256,24711.63148,0.29521653,0.001503759,-0.732290888,-0.308800356,0,
chr5,5483698,5731301,NB,UBE2QL1|LINC01018,,9,8,0,10793.18706,15065.71469,1292.500529,313.4757167,11.65625418,0.003007519,-0.381626943,1.83370968,0,0.64|0.54
chr22,50322848,50364801,NB,,,15,12,1,10788.04939,8586.68201,23927.852,7736.74109,0.358857202,0.016541353,-0.712348142,0.026578839,0,
chrX,24163148,24226551,NCC,ZFX-AS1,,19,13,2,10782.95727,10140.00434,20924.75423,13111.05222,0.484593713,0.02406015,-0.716802055,-0.078976485,1,0.41
chr7,110723398,110811051,NB,IMMP2L|LRRN3,,8,7,0,10781.85444,11538.52938,7906.856639,7094.237817,1.459306765,0.306766917,-0.466762104,0.24735415,0,0.45|0.39
chr3,47055698,47221651,NB,KIF9-AS1|KLHL18,,4,2,2,10774.38122,10082.65815,30360.12966,25843.00745,0.332101946,0.016541353,-0.711911054,-0.291581803,1,0.45|0.4
chr3,197182448,197248751,NCC,DLG1-AS1,,15,12,2,10771.12181,9824.817945,15738.99111,24985.85585,0.62423429,0.153383459,-0.530456726,-0.170772057,1,0.41
chr8,144977148,145045196,NCC,PLEC|PARP10|TSTA3|PYCRL,,10,3,3,10752.37159,9114.576394,61644.57209,30232.0345,0.147856917,0.001503759,-0.77085362,-0.676644901,1,0.76|0.71|0.51|0.4
chr13,44083748,44298551,NB,ENOX1|FAM216B,,9,9,0,10749.61004,13564.72366,10296.17994,5786.639725,1.317452078,0.470676692,-0.557726301,0.395294305,0,0.6|0.4
chr1,151022756,151045751,NB,GABPB2,,7,4,1,10739.65472,9427.651531,21410.78689,13472.34783,0.440322515,0.010526316,-0.630048717,-0.109266357,1,0.58
chr10,33180348,33305651,NCC,ITGB1|NRP1,,8,3,3,10720.26083,9682.52979,61323.12128,67920.62222,0.157893623,0.001503759,-0.843624855,-0.65070627,1,0.71|0.51
chr8,8131148,8244851,NCC,,,11,4,3,10719.50569,9572.391088,50541.66507,30073.98811,0.189396037,0.001503759,-0.69753168,-0.455223711,1,
chr18,20694348,20825301,NB,CABLES1,,11,10,0,10714.6164,12184.53327,4251.542565,11167.69294,2.865908804,0.034586466,-0.709076737,0.482002895,0,0.5
chr11,56868348,57017901,NB,APLNR|LRRC55|OR5AK2,,9,9,0,10712.60466,14011.10122,610.0260502,1898.557882,22.96803754,0.046616541,0.023418134,1.109472516,0,0.67|0.62|0.39
chr1,109338648,109440751,NB,AKNAD1|STXBP3,,5,3,0,10712.50207,8921.974711,15940.92557,10960.77354,0.559689879,0.079699248,-0.505081081,-0.154604854,0,0.43|0.39
chr9,99079448,99194751,NB,AAED1|HSD17B3|SLC35D2,,6,2,3,10710.93775,8398.156079,32373.35188,15504.19441,0.25941571,0.001503759,-0.612501814,-0.339214715,0,0.6|0.54|0.49
chr4,123657148,123857151,NB,NUDT6|FGF2,,3,0,2,10701.94675,9992.608176,37491.30939,69952.19108,0.26653132,0.001503759,-0.729772219,-0.661899518,1,0.72|0.56
chr1,235660898,235810251,NB,,,6,5,1,10700.7781,10961.4163,10934.56082,6824.199506,1.002456018,0.6,-0.712656662,0.309643099,0,
chr18,21561548,21707601,NB,TTC39C|CABYR,,4,4,0,10699.55621,13321.49059,8709.150152,5009.286247,1.529597074,0.12481203,-0.57713523,0.614748489,0,0.79|0.42
chr17,34880698,34942001,NCC,,,3,1,2,10699.55333,9945.866559,27843.35873,15753.69101,0.357207859,0.003007519,-0.618853391,-0.212233844,1,
chr1,228903348,229074551,NB,RHOU,,12,12,0,10690.04859,15785.80529,853.0467477,4306.655979,18.50520542,0.001503759,-0.250106251,2.011996875,0,0.72
chr11,2401044,2441774,NB,C11orf21,,12,10,1,10687.36914,7943.291488,10865.27178,10919.94318,0.731071587,0.306766917,-0.596918203,0.054607372,0,0.53
chr11,12402298,12479701,NCC,PARVA,,19,14,2,10687.02032,10511.41866,18581.07101,12910.38875,0.565705748,0.739849624,-0.583498958,0.084478628,1,0.52
chr6,30622798,30664001,NCC,MICA|PPP1R18|CDSN|HCP5|PSORS1C1|HLA-C|IER3|PSORS1C2|C6orf15|HCG27|HLA-E|DPCR1,,3,0,3,10682.25808,8829.604998,34336.20445,21931.61144,0.257151457,0.001503759,-0.654522001,-0.380023118,1,0.74|0.72|0.69|0.68|0.66|0.64|0.63|0.62|0.52|0.48|0.41|0.37
chr9,84153198,84310051,NB,TLE1,,8,6,2,10679.66437,10382.89669,26802.03494,23556.10298,0.387392103,0.010526316,-0.447197338,-0.273569924,1,0.51
chr10,33182748,33305351,NB,ITGB1|NRP1,,8,3,3,10669.79792,9616.499014,60925.72937,67465.7841,0.157839703,0.001503759,-0.837928757,-0.651911635,1,0.71|0.51
chr16,67047498,67136251,NCC,,,14,11,2,10664.25523,10416.89367,18791.22243,13030.95891,0.55434891,0.061654135,-0.631524929,-0.033450286,1,
chr17,36547498,36649051,NB,,,12,7,3,10662.43796,9294.115213,29144.07049,23514.76123,0.318902441,0.001503759,-0.770117936,-0.294505542,1,
chr9,35714948,35801301,NB,TLN1|RECK|CA9|HRCT1|CCDC107|CREB3|TPM2,CREB3,9,4,3,10658.72531,9902.976826,31635.21703,23274.20304,0.313036475,0.003007519,-0.769711711,-0.243057651,1,0.56|0.51|0.48|0.43|0.41|0.37|0.37
chr2,69242773,69488551,NB,,,8,2,3,10650.48171,8638.805661,46566.62196,26704.62584,0.185514974,0.001503759,-0.67189355,-0.589845648,1,
chr19,38400365,38574851,NCC,C19orf33|GGN|SIPA1L3|CATSPERG,,10,7,3,10647.54498,10041.25329,34855.77003,58260.21125,0.288080088,0.003007519,-0.845252829,-0.395217473,1,0.54|0.49|0.43|0.41
chr16,50189326,50368951,NB,CYLD|CNEP1R1|ADCY7,,8,4,3,10644.25919,10368.17041,37611.90079,30801.40698,0.275661963,0.003007519,-0.765191791,-0.333320188,1,0.66|0.56|0.49
chr4,40897698,41224701,NB,APBB2,,4,0,3,10637.77994,9646.054608,95676.97909,78242.90462,0.100818971,0.001503759,-0.799276289,-0.932100138,1,0.55
chr6,114133798,114200801,NCC,,,18,11,3,10637.32801,9857.850955,25257.34689,17181.32448,0.390296376,0.001503759,-0.7151688,-0.282044229,1,
chr12,124427898,124534951,NB,,,7,5,1,10633.94948,10454.99886,12273.58008,7834.589861,0.851829604,0.533834586,-0.62306847,0.125241386,0,
chr17,47067348,47116151,NB,IGF2BP1,,15,11,3,10627.53564,10864.78502,25269.15737,21369.49769,0.4299623,0.003007519,0.689129545,-0.971902972,1,0.74
chr10,18869998,18979501,NB,,,6,0,3,10612.00092,9045.01176,34347.11625,15408.99786,0.263341228,0.001503759,-0.65207818,-0.292907392,0,
chr2,204190248,204397557,NB,RAPH1|CTLA4|CD28|NBEAL1,,3,0,3,10607.00042,9788.687239,39706.45511,28439.90094,0.246526345,0.003007519,-0.6876594,-0.348570503,1,0.61|0.58|0.54|0.47
chr14,23763698,23796201,NB,BCL2L2,,4,0,2,10601.92905,9446.99718,22534.24568,11462.60232,0.419228463,0.003007519,-0.643049411,-0.107081182,0,0.51
chrX,153575448,153612951,NB,,,14,9,3,10596.21141,9618.893765,39550.6829,15107.85644,0.24320424,0.003007519,-0.697298555,-0.288627382,1,
chr8,31863848,32230401,NB,NRG1,,8,3,3,10581.67506,9300.979845,47802.61357,24663.9169,0.19457053,0.006015038,-0.724795007,-0.457494878,0,0.6
chrX,77139098,77298401,NB,,,6,6,0,10576.45301,10671.7328,20088.32581,6585.260995,0.531240528,0.184962406,-0.550601485,0.114803427,0,
chr1,192442448,192633651,NB,,,8,2,3,10564.75218,6978.247942,89022.32141,17691.95816,0.07838762,0.001503759,-0.393009624,-0.854338105,0,
chr8,22185098,22287901,NB,SLC39A14|PPP3CC,,11,6,2,10559.56502,7872.326787,23888.75918,13901.35825,0.32954105,0.010526316,-0.663881812,-0.181376721,0,0.46|0.37
chrX,40496548,40669201,NB,CXorf38|MED14OS,,4,2,2,10554.70294,9414.143464,32065.18288,7928.084581,0.293593943,0.003007519,-0.553905055,-0.142236395,0,0.43|0.37
chr3,160464698,160654201,NB,PPM1L|SPTSSB,,3,3,0,10552.28313,11005.61476,2308.743956,1533.617285,4.766927371,0.10075188,-0.503041316,1.065621146,0,0.87|0.42
chr5,179117998,179207351,NB,MGAT4B|SQSTM1|TBC1D9B,,6,2,2,10544.73644,9810.934769,27092.96485,16666.66796,0.36212112,0.003007519,-0.66359519,-0.253973175,0,0.54|0.52|0.45
chr3,53997848,54426551,NB,CACNA2D3,,6,5,0,10541.93452,14861.55082,537.9865999,82.32814649,27.62438846,0.034586466,-0.159678624,2.486951972,0,0.53
chr17,36849448,36902057,NB,,,8,5,1,10538.32928,9754.075909,13603.57266,6144.543021,0.717023105,0.046616541,-0.677231,0.176707511,0,
chr1,46018995,46164251,NB,TSPAN1,,5,2,2,10538.09495,10476.61612,27172.60748,17701.07347,0.385557997,0.006015038,-0.71272541,-0.20218153,0,0.61
chr14,73763898,73943401,NB,NUMB|HEATR4,,7,6,1,10535.49748,9503.597816,18333.43866,18627.72515,0.518375084,0.184962406,-0.623731112,-0.076522527,0,0.55|0.38
chr16,9126848,9233351,NB,C16orf72,,5,1,3,10535.08833,10039.46035,45002.56969,27432.4436,0.22308638,0.003007519,-0.785210769,-0.397722782,0,0.58
chr10,34559948,34744751,NB,NRP1,,7,3,2,10532.51389,8688.523201,18934.80283,11013.15076,0.458865259,0.006015038,-0.56627169,-0.260363596,0,0.54
chr5,16367848,16468701,NB,Mar-11,,7,6,0,10528.77143,10417.58802,10664.93769,9929.828316,0.976807209,0.962406015,-0.578525938,0.132748085,0,0.39
chr16,53112598,53145301,NCC,,,21,15,2,10515.54179,10612.58215,9617.428003,9894.683909,1.103474042,0.887218045,-0.594285888,0.139150951,1,
chr20,57192898,57245901,NCC,APCDD1L-AS1|APCDD1L|RAB22A|PPP4R1L,,17,11,2,10512.42157,7689.146226,23497.14536,14976.4165,0.327237463,0.010526316,-0.680891606,-0.186378057,1,0.58|0.56|0.45|0.43
chr3,112859798,113025101,NB,BOC|CFAP44-AS1,,6,4,1,10501.18146,10388.38814,28208.78921,9864.940943,0.368267779,0.412030075,-0.579315347,0.013692638,0,0.69|0.41
chr4,17469898,17563301,NB,QDPR|NCAPG,,13,12,0,10499.16739,11785.74338,4800.909408,3588.567993,2.4548981,0.001503759,-0.65790766,0.676581306,0,0.77|0.4
chr8,98889898,99062901,NB,MATN2,,3,0,3,10499.16118,9978.917722,47788.1852,15831.48853,0.208815582,0.001503759,-0.741769795,-0.288780811,0,0.65
chr20,5041348,5173601,NB,PRNP,,2,0,2,10496.60856,9534.116567,27917.34194,14143.82596,0.341512333,0.003007519,-0.716135538,-0.167921297,0,0.4
chr2,39491498,39778251,NB,,,3,0,3,10496.24605,10091.15739,60138.6328,44749.46833,0.167798251,0.001503759,-0.728835223,-0.625361846,1,
chr8,93417198,93558551,NB,RUNX1T1,,7,4,1,10489.41212,10050.3594,4941.921539,2488.926853,2.033694651,0.184962406,-0.443227111,0.714473815,0,0.41
chr8,22411748,22481151,NCC,PPP3CC|PDLIM2|C8orf58|BMP1|SORBS3|BIN3,,5,0,3,10486.45419,8915.334434,58939.9527,26777.61607,0.15126131,0.001503759,-0.718497023,-0.549115042,1,0.7|0.68|0.65|0.63|0.51|0.43
chr8,42012961,42189251,NB,IKBKB|PLAT,,9,2,3,10485.05299,8282.392245,58194.38616,32532.81133,0.142322873,0.001503759,-0.660899236,-0.764336879,1,0.83|0.8
chr1,7996748,8305101,NB,ERRFI1|VAMP3|TNFRSF9,,7,1,3,10479.80611,9502.817693,146028.7458,80031.69111,0.06507498,0.001503759,-0.893244935,-1.008991244,1,0.77|0.42|0.39
chr5,175199848,175347251,NB,CPLX2,,5,5,0,10472.8839,14164.31543,10147.27268,642.4463772,1.395874131,0.887218045,-0.409173385,1.088025431,0,0.69
chr11,18306948,18431351,NB,UEVLD|SPTY2D1-AS1|MRGPRX3|GTF2H1,,5,0,3,10469.90418,10304.63942,41824.55199,35268.69706,0.24637776,0.003007519,-0.746718906,-0.477212697,1,0.55|0.52|0.44|0.37
chr4,38657498,38703101,NB,,,3,2,1,10452.34163,8415.096014,18087.01649,14426.96006,0.46525617,0.034586466,-0.62520173,-0.068087794,0,
chr16,81481272,81702601,NB,PKD1L2,,9,6,2,10442.84122,10418.66538,24398.33886,15779.32507,0.427023555,0.046616541,-0.837825467,-0.072176786,0,0.54
chr6,53146598,53226451,NB,,,13,9,1,10440.62585,9070.909889,22532.11176,15696.07352,0.402576997,0.010526316,-0.677573715,-0.138727538,0,
chr1,43384748,43475251,NB,SLC2A1-AS1|SLC2A1|ERMAP|P3H1,,12,7,3,10433.89211,9798.740504,36921.75994,34542.11258,0.265392021,0.006015038,-0.799301209,-0.341286658,1,0.69|0.56|0.52|0.5
chr12,92412948,92542551,NB,,,5,1,3,10432.80837,9767.777087,50166.00455,24290.88993,0.19470909,0.003007519,-0.80637584,-0.342132264,1,
chr1,101338098,101495751,NB,S1PR1|SLC30A7,,3,1,1,10431.73142,8987.185538,22969.54355,17407.61688,0.391265308,0.006015038,-0.608415813,-0.196038465,0,0.68|0.52
chr21,40278648,40423301,NB,,,12,10,0,10423.05807,13077.19535,1971.622776,5088.286538,6.632706578,0.010526316,-0.59292601,0.838938363,0,
chr9,6398698,6571301,NB,,,6,1,2,10420.67146,9312.232218,46556.11145,19288.59321,0.200021693,0.003007519,-0.699337693,-0.459247744,0,
chr5,167494848,167647401,NB,,,11,10,0,10418.98927,10791.86706,6745.274692,6623.549645,1.599915133,0.061654135,-0.44271054,0.532977775,0,
chr19,31759048,31843451,NB,TSHZ3,TSHZ3,9,8,1,10413.42755,9955.317733,11903.92588,17105.62843,0.83630542,0.6,-0.44993391,-0.008720544,1,0.77
chr3,135852748,135917401,NB,IL20RB,,4,3,1,10411.50625,9882.964848,20221.5214,17082.90816,0.48873498,0.016541353,-0.677633969,-0.134473385,0,0.51
chr15,90685248,90773001,NB,SEMA4B|FURIN|TTLL13P|CIB1,,8,4,2,10409.24606,9041.662459,32022.42599,9242.149147,0.282354075,0.006015038,-0.672501346,-0.126405709,0,0.49|0.41|0.4|0.39
chr9,91910448,91984401,NB,,,5,4,1,10408.86997,10042.00235,20462.44585,9766.903139,0.490752788,0.010526316,-0.669268301,-0.006307386,0,
chr2,174772698,174870451,NB,,,2,0,2,10402.5075,9386.406673,28923.55214,17282.38952,0.324524686,0.006015038,-0.727055599,-0.193881237,1,
chr17,57419248,57519051,NB,,,12,10,0,10400.9917,9507.847258,23320.71395,14779.02719,0.407699665,0.061654135,-0.581560226,-0.064713928,0,
chr19,16173598,16227201,NCC,KLF2|TPM4,KLF2,2,1,1,10400.72809,9412.186057,17646.73391,23453.48271,0.53336703,0.010526316,-0.613659416,-0.19439348,1,0.63|0.55
chr22,46063248,46253001,NB,,,5,0,3,10395.11267,9837.387983,53822.22365,32261.85993,0.182775577,0.001503759,-0.747486617,-0.542094253,1,
chr2,37422698,37591751,NB,EIF2AK2,,3,1,1,10382.88391,9343.882786,19332.99712,20336.73199,0.483312687,0.02406015,-0.691734304,-0.136278555,0,0.67
chr9,34404048,34475651,NB,CNTFR|ENHO|CNTFR-AS1|FAM219A,,14,13,0,10373.99852,11929.86757,4386.016548,4186.281477,2.719977785,0.003007519,-0.599141972,0.610084697,0,0.69|0.55|0.49|0.49
chr16,29794648,29820907,NB,PRRT2,,10,8,1,10373.64455,10207.77309,13852.82956,6469.353368,0.736872785,0.061654135,-0.587520664,0.10739467,0,0.38
